연도,시도,시군구,계약종별,1월,2월,3월,4월
2023,서울특별시,종로구,주택용,25002325,23457859,19732099,19571066
2023,서울특별시,종로구,일반용,120952865,111104889,93861507,87142619
2023,서울특별시,종로구,교육용,11323914,10147266,7825515,7091675
2023,서울특별시,종로구,산업용,7072244,6736726,6165032,6111178
2023,서울특별시,종로구,농사용,631,998,596,746
2023,서울특별시,종로구,가로등,715608,655573,597562,576455
2023,서울특별시,종로구,심 야,2509852,2367535,1752210,1693870
2023,서울특별시,종로구,합 계,167577439,154470846,129934521,122187609
2023,서울특별시,중구,주택용,20006959,18795900,16028385,15997744
2023,서울특별시,중구,일반용,170051169,152895706,132758654,123395065
2023,서울특별시,중구,교육용,5930833,4974469,3970307,3190261
2023,서울특별시,중구,산업용,21515567,19904543,17527763,16840019
2023,서울특별시,중구,가로등,918310,895529,807841,785230
2023,서울특별시,중구,심 야,813746,748906,748552,1383237
2023,서울특별시,중구,합 계,219236584,198215053,171841502,161591556
2023,서울특별시,용산구,주택용,38889390,37074402,31100274,31300153
2023,서울특별시,용산구,일반용,90254490,83255233,69387819,66955645
2023,서울특별시,용산구,교육용,6222802,5340551,4311442,3752535
2023,서울특별시,용산구,산업용,9629354,8047302,7919663,7898539
2023,서울특별시,용산구,가로등,1071715,986237,897609,856951
2023,서울특별시,용산구,심 야,689613,682112,627740,650692
2023,서울특별시,용산구,합 계,146757364,135385837,114244547,111414515
2023,서울특별시,성동구,주택용,41107041,39877337,33420186,34088230
2023,서울특별시,성동구,일반용,81138704,73734394,60041378,55312943
2023,서울특별시,성동구,교육용,9064249,7414756,6654155,5722990
2023,서울특별시,성동구,산업용,78812476,74773680,68557895,68679266
2023,서울특별시,성동구,농사용,8799,11481,9582,7620
2023,서울특별시,성동구,가로등,944203,897842,817496,773113
2023,서울특별시,성동구,심 야,398286,363773,257646,152029
2023,서울특별시,성동구,합 계,211473758,197073263,169758338,164736191
2023,서울특별시,동대문구,주택용,49164836,47349472,40400163,41216521
2023,서울특별시,동대문구,일반용,65688598,60675295,48253065,44674204
2023,서울특별시,동대문구,교육용,10900261,9286536,7753060,6570873
2023,서울특별시,동대문구,산업용,15935883,14762482,12536984,12350436
2023,서울특별시,동대문구,농사용,13941,13924,9442,11765
2023,서울특별시,동대문구,가로등,881993,800475,749728,683887
2023,서울특별시,동대문구,심 야,649371,558939,385110,268385
2023,서울특별시,동대문구,합 계,143234883,133447123,110087552,105776071
2023,서울특별시,성북구,주택용,57609806,55863632,47196889,48594619
2023,서울특별시,성북구,일반용,55863178,51823827,41176932,38517919
2023,서울특별시,성북구,교육용,19488482,17291215,14067469,12538384
2023,서울특별시,성북구,산업용,9234590,8746787,7852043,7698901
2023,서울특별시,성북구,농사용,2622,2880,2551,3388
2023,서울특별시,성북구,가로등,1192081,1081818,991803,948475
2023,서울특별시,성북구,심 야,1909083,1799756,1289728,890033
2023,서울특별시,성북구,합 계,145299842,136609915,112577415,109191719
2023,서울특별시,도봉구,주택용,39705656,38323825,32480592,33372457
2023,서울특별시,도봉구,일반용,36820392,33764422,26655304,24690020
2023,서울특별시,도봉구,교육용,5017677,4019806,3035133,2493962
2023,서울특별시,도봉구,산업용,4977877,4700405,4214644,4331813
2023,서울특별시,도봉구,농사용,29562,31627,22675,26231
2023,서울특별시,도봉구,가로등,609742,561186,520504,508020
2023,서울특별시,도봉구,심 야,470686,454680,314331,201283
2023,서울특별시,도봉구,합 계,87631592,81855951,67243183,65623786
2023,서울특별시,은평구,주택용,61344311,59164654,50800173,51735596
2023,서울특별시,은평구,일반용,56730195,52917375,41737778,39142994
2023,서울특별시,은평구,교육용,5520168,4751652,3550303,2927899
2023,서울특별시,은평구,산업용,16770948,16631974,14659243,14834435
2023,서울특별시,은평구,농사용,23822,23533,20495,19829
2023,서울특별시,은평구,가로등,716940,648103,603048,560300
2023,서울특별시,은평구,심 야,1135600,1041528,728412,487892
2023,서울특별시,은평구,합 계,142241984,135178819,112099452,109708945
2023,서울특별시,서대문구,주택용,42694797,40287659,35237084,35604023
2023,서울특별시,서대문구,일반용,56876944,52350380,43918110,41464595
2023,서울특별시,서대문구,교육용,19640995,16453789,15172554,13049932
2023,서울특별시,서대문구,산업용,2921259,2783526,2598768,2628270
2023,서울특별시,서대문구,농사용,2387,2393,1967,1451
2023,서울특별시,서대문구,가로등,732207,671930,612317,572035
2023,서울특별시,서대문구,심 야,571813,533298,430910,365624
2023,서울특별시,서대문구,합 계,123440402,113082975,97971710,93685930
2023,서울특별시,마포구,주택용,55619744,53026234,45213135,45759802
2023,서울특별시,마포구,일반용,135175630,123870574,104755887,97455179
2023,서울특별시,마포구,교육용,7077586,5710708,4945692,4128729
2023,서울특별시,마포구,산업용,11401407,10810095,11277225,11545835
2023,서울특별시,마포구,농사용,9927,9573,9672,11607
2023,서울특별시,마포구,가로등,1195418,1104599,991367,965511
2023,서울특별시,마포구,심 야,1502983,1182081,893935,1044363
2023,서울특별시,마포구,합 계,211982695,195713864,168086913,160911026
2023,서울특별시,강서구,주택용,74429465,72148207,62107457,63705950
2023,서울특별시,강서구,일반용,150343735,137068494,116815162,107206423
